"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L970590",NA,"R","L970590","2012-06-03","9:19","2012-06-04","07:50:00.00","12_172","2012-06-16","10:05:00.00","F"
"L970592",NA,"B","L970592","2012-06-03","9:19","2012-06-04","07:50:00.00","12_172","2012-06-16","10:05:00.00","F"
"12_172LB",NA,"LB",NA,"2012-06-04","07:50:00.00","2012-06-05","08:57:00.00","12_172","2012-06-10","11:47:00.00","M"
"L970596",NA,"L","L970596","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"L970598",NA,"R","L970598","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"L970594",NA,"B","L970594","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"L970599",NA,"LB","L970599","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"L970593",NA,"RB","L970593","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"12_148LR",NA,"LR",NA,"2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-10","13:58:00.00","M"
"L970595",NA,"A","L970595","2012-06-03","9:48","2012-06-04","08:45:00.00","12_148","2012-06-16","09:50:00.00","M"
"12_148LT",NA,"LT",NA,"2012-06-04","08:45:00.00","2012-06-05","10:03:00.00","12_148","2012-06-07","11:56:00.00","M"
"L970597",NA,"RT","L970597","2012-06-04","08:45:00.00","2012-06-05","10:03:00.00","12_148","2012-06-16","09:50:00.00","M"
"12_148N",NA,"N",NA,"2012-06-04","08:45:00.00","2012-06-05","10:03:00.00","12_148","2012-06-16","09:50:00.00","M"
"L970610",NA,"L","L970610","2012-06-06","7:36","2012-06-07","10:23:00.00","12_180",NA,NA,"M"
"L970613",NA,"R","L970613","2012-06-06","7:36","2012-06-07","10:23:00.00","12_180","2012-06-19","11:29:00.00","M"
"L970612",NA,"B","L970612","2012-06-06","7:36","2012-06-07","10:23:00.00","12_180","2012-06-22","17:48:00.00","M"
"L970609",NA,"LB","L970609","2012-06-06","7:36","2012-06-07","10:23:00.00","12_180","2012-06-22","17:48:00.00","M"
"L970608",NA,"RB","L970608","2012-06-06","7:36","2012-06-07","10:23:00.00","12_180",NA,NA,"F"
"L970611",NA,"LR","L970611","2012-06-07","10:23:00.00","2012-06-08","09:56:00.00","12_180","2012-06-19","11:29:00.00","M"
"12_180N",NA,"N",NA,"2012-06-08","09:56:00.00","2012-06-10","11:33:00.00","12_180","2012-06-19","11:29:00.00","M"
"L970606",NA,"L","L970606","2012-06-06","8:10","2012-06-07","12:09:00.00","12_150",NA,NA,"M"
"L970602",NA,"R","L970602","2012-06-06","8:10","2012-06-07","12:09:00.00","12_150",NA,NA,"F"
"L970607",NA,"B","L970607","2012-06-07","12:09:00.00","2012-06-08","10:36:00.00","12_150",NA,NA,"F"
"L970604",NA,"LB","L970604","2012-06-07","12:09:00.00","2012-06-08","10:36:00.00","12_150","2012-06-19","11:19:00.00","F"
"L970601",NA,"RB","L970601","2012-06-07","12:09:00.00","2012-06-08","10:36:00.00","12_150","2012-06-19","11:19:00.00","M"
"L970605",NA,"LR","L970605","2012-06-07","12:09:00.00","2012-06-08","10:36:00.00","12_150","2012-07-02",NA,"F"
"L970600",NA,"A","L970600","2012-06-07","12:09:00.00","2012-06-08","10:36:00.00","12_150","2012-06-19","11:19:00.00","M"
"L970603",NA,"LT","L970603","2012-06-08","10:36:00.00","2012-06-10","13:35:00.00","12_150","2012-06-19","11:19:00.00","M"
"12_150RT",NA,"RT",NA,"2012-06-08","10:36:00.00","2012-06-10","13:35:00.00","12_150","2012-06-16","09:35:00.00","F"
"12_150N",NA,"N",NA,"2012-06-08","10:36:00.00","2012-06-10","13:35:00.00","12_150","2012-06-13","12:10:00.00","M"
"12_146L",NA,"L",NA,"2012-06-08","10:44","2012-06-09","11:31:00.00","12_146","2012-06-19","11:15:00.00","F"
