"nestbox","lat","long","population","yr_setup"
"A45",55.97586,-3.30311,"almond_river","2011-03"
"A46",55.97596,-3.30287,"almond_river","2011-03"
"A47",55.97626,-3.30275,"almond_river","2016-07"
"A48",55.97674,-3.3027,"almond_river","2016-07"
"A49",55.97716,-3.3027756,"almond_river","2016-07"
"A50",55.97713,-3.3035374,"almond_river","2016-07"
"A51",55.977556,-3.3030546,"almond_river","2016-07"
"A52",55.977994,-3.3028615,"almond_river","2016-07"
"A53",55.977994,-3.3033872,"almond_river","2016-07"
"A54",55.978445,-3.3031511,"almond_river","2016-07"
"A55",55.978859,-3.3029795,"almond_river","2016-07"
"A56",55.978481,-3.3025718,"almond_river","2016-07"
"A57",55.978889,-3.3023894,"almond_river","2016-07"
"A58",55.979309,-3.3021641,"almond_river","2016-07"
