habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
urb,6,2,08/05/15,10:25,2,74,16.1,19.66,VD,61,2791
urb,0,1,08/05/14,12:40,2,76,17.6,21.13,AC,57.5,2801
rur,9,1,09/05/14,08:42,1,75,16.6,20.9,AC,64,2803
rur,9,1,26/05/15,12:10,2,76.5,16.4,20.99,AC,65,2803
rur,9,2,09/05/14,09:10,1,74,16.6,20.05,AC,60,2812
rur,9,2,26/05/15,11:55,2,74,16.5,19.97,SP,63,2812
rur,10,2,09/05/14,09:40,1,71.5,16.1,19.89,AC,56,2819
rur,10,1,09/05/14,10:12,2,78.5,17.2,20.32,AC,64,2820
rur,8,1,09/05/14,10:45,,76,16.7,19.8,AC,68,2829
rur,0,1,20/05/15,12:10,2,78,17,19.81,SP,72,2829
rur,8,2,09/05/14,10:53,1,75,16.3,19.76,AC,60,2837
rur,0,2,20/05/15,12:05,2,75,16.6,19.68,SP,62,2837
rur,7,1,09/05/14,11:16,1,75,16.8,19.92,AC,61,2849
rur,7,2,09/05/14,11:33,1,71,17,19.51,AC,59,2850
urb,6,2,12/05/14,09:10,1,71,14.7,19.14,VD,59,2859
urb,2,1,12/05/14,10:28,1,72,16.6,19.98,VD,62.5,2864
urb,4,1,11/05/15,10:40,2,77,17.4,19.99,AC,65,2864
urb,2,2,12/05/14,10:44,1,74,16.4,19.97,AG,59,2879
urb,4,2,05/05/15,15:00,2,76,17.5,20.18,VD,62,2879
urb,1,2,12/05/14,11:40,2,73,16,18.63,AG,61,2889
urb,3,1,12/05/14,13:15,2,71.5,16.8,20.14,AG,61,2898
urb,5,1,29/04/15,08:50,2,76,16.5,20.32,SP,64,2898
urb,3,2,12/05/14,13:35,1,74.5,16.2,19.24,AG,61,2915
urb,5,2,29/04/15,09:00,2,73.5,16,19.1,SP,62.5,2915
urb,4,1,12/05/14,14:10,2,80,17.2,19.96,VD,69,2921
rur,0,1,13/05/14,09:50,2,76,17.4,19.99,AC,62,2925
rur,0,2,13/05/14,10:07,1,71,16.6,19.06,AC,61,2932
rur,1,2,13/05/14,10:34,1,73,17.1,19.71,AC,59.5,2936
rur,6,2,13/05/14,11:06,1,70.5,16,18.99,AC,59,2942
urb,4,1,14/05/14,09:35,2,79.5,17.1,19.07,AG,68,2949
urb,7,1,14/05/14,11:20,2,77,16.6,18.59,AG,69.5,2955
urb,4,1,14/05/14,13:30,2,78,17.2,19.63,AG,,2957
urb,4,1,14/05/14,13:40,2,77,16.6,19.13,AG,67,2961
urb,4,2,14/05/14,13:48,1,72,14.9,19.17,AG,60.5,2962
urb,4,2,14/05/14,13:57,2,75.5,16.2,19.09,AG,64,2966
urb,6,1,14/05/14,13:00,2,71,17,19.71,AG,66,2974
urb,4,1,29/04/15,10:50,2,79,17.4,19.9,VD,66,2974
urb,6,1,25/04/16,09:41,2,78,16.8,20.1,AC,68,2974
urb,6,2,14/05/14,15:17,1,74,16.2,19.62,AG,60,2988
urb,3,1,14/05/14,16:10,2,78,17.2,19.52,VD,67.5,2996
urb,3,2,14/05/14,16:35,2,73.5,16.9,19.1,AG,62.5,3000
urb,0,2,15/05/14,10:00,1,72,17.4,18.12,VD,59,3008
urb,9,1,15/05/14,10:15,1,76,16.8,19.89,SC,61,3011
urb,9,2,15/05/14,10:41,1,72,15.8,19.18,SC,57,3019
urb,6,2,14/05/15,12:00,2,71,16.2,19.16,AC,62,3019
urb,7,1,15/05/14,11:13,2,77.5,15.7,20.25,SC,66,3026
urb,4,2,12/05/15,10:30,1,71,16.1,18.16,AC,59,3029
urb,7,2,06/05/16,13:10,2,72,16.25,18.44,AG,60.5,3029
urb,0,1,05/05/15,11:50,1,72.5,16.2,20.11,AC,62,3038
urb,5,2,21/05/15,12:15,1,72,14.3,19.44,VD,57.5,3044
urb,1,2,10/05/16,11:20,2,74.5,15.4,19.61,AC,63,3044
rur,0,1,09/05/16,09:30,2,77.5,17,20.14,AC,67,3059
rur,8,1,13/05/15,11:15,2,76,16.8,19.5,SP,65,3067
rur,8,2,13/05/15,11:55,2,74,17.3,20.42,SP,63,3069
rur,3,2,06/05/16,08:40,2,73,16.8,20.47,SP,61,3069
urb,8,2,15/05/15,10:30,1,73,16.2,19.2,SP,61,3075
rur,2,2,20/05/15,09:35,2,71.5,15,18.72,VD,59,3080
