NID,FS,ND,LD,PID,NS,SES,AGE,SE,RA,MO,BS,BSM,EC,ECM,BM,TA,FA,FE
M41,0,0,124,M41P5,0,5,,,,,,,,,,,,
M10,1,0,126,M10P1,1,1,1,0,4,1,4,4,0.67,0.67,11,,,
M10,1,0,126,M10P1,0,2,3,0,4,,4,4,0,0.67,18.7,,,
M10,1,0,126,M10P1,0,3,5,0,4,,4,4,0,0.67,25.4,,,
M10,1,0,126,M10P1,0,4,8,0,4,,4,4,0,0.67,39.2,17.8,22.5,
M10,1,0,126,M10P1,0,5,,,,,,,,,,,,
M10,1,0,126,M10P2,1,1,1,0,1,0,4,4,0.67,1.33,21,,,
M10,1,0,126,M10P2,0,2,3,0,1,,4,4,0.33,1.33,41.9,,,
M10,1,0,126,M10P2,0,3,5,0,1,,4,4,0.33,1.33,47.3,,,
M10,1,0,126,M10P2,0,4,8,0,1,,4,4,1.33,1.33,80.6,25,33.5,
M10,1,0,126,M10P2,0,5,17,0,1,,3,4,,1.33,161,,,62
M10,1,0,126,M10P3,1,1,1,0,2,0,4,4,0.67,0.67,17.7,,,
M10,1,0,126,M10P3,0,2,3,0,2,,4,4,0,0.67,33.9,,,
M10,1,0,126,M10P3,0,3,5,0,2,,4,4,0,0.67,42.7,,,
M10,1,0,126,M10P3,0,4,8,0,2,,4,4,0,0.67,74.5,22.8,30.5,
M10,1,0,126,M10P3,0,5,17,0,2,,3,4,,0.67,151.5,,,
M10,1,0,126,M10P4,1,1,1,1,3,0,4,4,0.33,0.33,14,,,
M10,1,0,126,M10P4,0,2,3,1,3,,4,4,0.33,0.33,26.1,,,
M10,1,0,126,M10P4,0,3,5,1,3,,4,4,0.33,0.33,31.4,,,
M10,1,0,126,M10P4,0,4,8,1,3,,4,4,0,0.33,50.4,21,25.3,
M10,1,0,126,M10P4,0,5,17,1,3,,3,4,,0.33,122.1,,,
M10,1,0,126,M10P5,0,1,,,,,,,,,,,,
M10,1,0,126,M10P5,0,2,,,,,,,,,,,,
M10,1,0,126,M10P5,0,3,,,,,,,,,,,,
M10,1,0,126,M10P5,0,4,,,,,,,,,,,,
M10,1,0,126,M10P5,0,5,,,,,,,,,,,,
M25,0,0,126,M25P1,1,1,1,0,2,0,4,5,0,0,16.9,,,
