Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
5185,17.9,0,0,4385,1160
5186,17.6,0,0,4241,1160
5187,17.6,0,0,4459,1167
5188,16.8,0,0,4231,1173
5189,16.8,0,0,4503,1173
5190,17.6,0,0,4175,1219
5191,16.6,1,0,4427,552
5192,16.3,0,0,4241,1059
5193,17,0,0,4227,1073
5194,16.8,0,0,4227,999
5195,17.2,0,0,4175,1073
5196,17.5,1,0,4467,1160
5197,17.2,0,0,4517,1160
5198,17.1,1,0,4362,1167
5199,17,1,0,4175,971
5200,16.6,0,0,4358,919
5201,16.7,0,0,4479,1167
5202,17.5,0,0,4442,971
5203,17.9,0,0,4455,977
5204,17.5,0,0,4413,977
5205,17,0,0,4494,999
5206,17.8,0,0,4405,1149
5207,16.6,1,0,4442,1219
5208,16.3,1,0,4358,876
5209,16.9,0,0,4361,999
5210,17.2,0,0,4361,1149
5211,17.8,1,0,4441,971
5212,16.6,0,0,4325,977
5213,16.6,1,0,4345,993
5214,16.7,1,0,4325,993
5215,17.1,1,0,4345,1149
5216,18,0,0,4413,1113
5217,17.4,0,0,4405,1113
5218,16.8,0,0,4362,1113
5219,17.2,0,0,4361,1215
5220,16.4,0,0,4517,1219
5221,17.8,1,0,4455,1219
5222,16.4,1,0,4345,1083
5223,17.6,1,0,4441,876
5224,16.9,0,0,4325,969
5225,17.5,0,0,4455,969
5226,17.7,0,0,4455,1083
5227,17,0,0,4325,1149
5228,16.5,1,0,4345,1215
5229,17.4,1,0,4191,1215
5230,17.9,1,0,4413,1194
5231,17.2,0,0,4229,1194
5232,16.7,1,0,4345,1194
5233,15.5,0,0,4526,1113
5234,17.5,0,0,4142,1004
5235,16.5,1,0.03125,4490,1083
5236,17.3,0,0,4494,993
5237,16.6,1,0,4402,1004
5238,16.9,1,0,4142,969
5239,17.6,1,0,4383,1013
5240,17.4,0,0,4479,956
5241,17.4,1,0,4191,939
5242,17,1,0,4479,927
5243,17.6,0,0,4493,939
5244,16.9,0,0,4493,931
5245,17.5,0,0,4493,927
5246,17.2,0,0,4494,1010
5247,17,1,0,4155,1010
5248,17.1,0,0,4467,931
5249,16.8,1,0,4396,931
5250,15.4,0,0,4233,1004
5251,17.3,0,0,4231,1107
5252,16.9,1,0,4383,867
5253,17.1,1,0,4396,1182
5254,16.3,1,0,4281,1205
5256,17.2,1,0,4467,1107
5257,17.1,1,0,4459,1205
5258,16.7,1,0,4231,1205
5259,17.3,1,0,4518,1182
5260,17.1,1,0,4227,1182
5261,16.5,1,0,4231,1182
5262,17,1,0,4254,867
5263,17.4,1,0,4459,867
5264,17.3,1,0,4503,867
5265,14.6,0,0.03125,4490,1004
6001,16.5,1,0,4358,1638
6002,17.7,1,0,4381,1879
6003,17,1,0,4467,1653
6004,16.1,0,0,2243,1399
6005,18.1,0,0,2248,1525
6006,16.6,0,0,4525,1618
6007,18,1,0,4503,1626
6008,17.2,1,0,4459,1638
6009,16.8,0,0,4517,1686
6010,17.1,0,0,4481,1693
6011,17.7,0,0,2253,1405
6012,18,0,0,2248,1405
6013,16.7,1,0,4160,1886
6014,17,1,0,4413,1644
6015,16.6,0,0,4396,1618
6016,17.5,0,0,4359,1626
6017,16.9,0,0,4142,1686
6018,17.6,1,0,4485,1700
6019,16.4,0,0,4205,1525
6020,17.5,1,0,4160,1593
6021,16.7,0,0,4493,1653
6022,17.2,0,0,4325,1644
6023,17.8,1,0,4385,1650
6024,17.4,0,0,4367,1482
6025,16.8,0,0,4442,1614
6026,17.5,0,0,4142,1680
6027,16.8,0,0,4231,1703
6028,17.3,1,0,4381,1851
6029,16.6,0,0,2058,1447
6030,18,0,0,4381,1589
6031,16.9,1,0,4228,1632
6032,16.5,0,0,4493,1686
6033,16.9,1,0,4481,1703
6034,17.8,1,0,4465,1703
6035,17.6,1,0,4231,1759
6036,17.9,1,0,2253,1851
6037,16.6,0,0,4325,1773
